epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,28327.7,0.77295,0.56124,0.99878,0.84943,0.84763,0.88887,0.68904,0.80271,0.62707,0.99344,0.0080992,0.0080992,0.0080992
98,28618.6,0.76848,0.55542,0.99559,0.85216,0.84747,0.88928,0.68921,0.80271,0.62708,0.99355,0.0080794,0.0080794,0.0080794
99,28911.3,0.76967,0.55958,0.9967,0.8526,0.84768,0.88935,0.68955,0.80227,0.62614,0.99336,0.0080596,0.0080596,0.0080596
100,29205.1,0.7719,0.56071,1.00048,0.85164,0.84871,0.88853,0.68948,0.80243,0.62566,0.99387,0.0080398,0.0080398,0.0080398
101,29495.4,0.76863,0.55562,0.99803,0.84865,0.84962,0.88763,0.68917,0.80239,0.62645,0.994,0.00802,0.00802,0.00802
102,29787,0.76766,0.55252,0.99665,0.85586,0.84206,0.88695,0.68845,0.8027,0.62746,0.9948,0.0080002,0.0080002,0.0080002
103,30078.9,0.76773,0.55333,0.99693,0.85471,0.84088,0.88695,0.6881,0.80282,0.62801,0.99503,0.0079804,0.0079804,0.0079804
104,30367.1,0.76903,0.55529,0.99681,0.85413,0.84174,0.88685,0.68766,0.80272,0.62788,0.99502,0.0079606,0.0079606,0.0079606
105,30666,0.76849,0.55545,0.99634,0.85149,0.84114,0.8867,0.68796,0.80242,0.62976,0.99497,0.0079408,0.0079408,0.0079408
106,30961.3,0.76309,0.55089,0.99382,0.85471,0.84092,0.88655,0.68814,0.80191,0.63077,0.99466,0.007921,0.007921,0.007921
107,31247.9,0.7647,0.55173,0.99629,0.85404,0.84063,0.88635,0.68808,0.80164,0.63111,0.99457,0.0079012,0.0079012,0.0079012
108,31541.6,0.76571,0.55222,0.99624,0.85197,0.84351,0.88635,0.68793,0.8014,0.63011,0.99421,0.0078814,0.0078814,0.0078814
109,31840.6,0.76205,0.54975,0.99435,0.85122,0.84353,0.88551,0.68761,0.80147,0.63085,0.99403,0.0078616,0.0078616,0.0078616
110,32134.9,0.76081,0.54532,0.99354,0.85118,0.84357,0.88564,0.68812,0.80152,0.63104,0.99385,0.0078418,0.0078418,0.0078418
111,32419.4,0.75939,0.54764,0.99294,0.8503,0.84573,0.88532,0.68737,0.80119,0.63123,0.99381,0.007822,0.007822,0.007822
112,32711.5,0.76267,0.54785,0.99555,0.85031,0.84519,0.885,0.68715,0.80007,0.6321,0.99309,0.0078022,0.0078022,0.0078022
113,33008.6,0.75691,0.54363,0.99131,0.85247,0.84519,0.88552,0.68832,0.7998,0.6323,0.99303,0.0077824,0.0077824,0.0077824
114,33305.8,0.76012,0.54544,0.99317,0.85086,0.84505,0.88527,0.68768,0.79986,0.63252,0.99271,0.0077626,0.0077626,0.0077626
115,33605.2,0.76032,0.54765,0.99316,0.85158,0.84422,0.88525,0.68654,0.79986,0.63278,0.9923,0.0077428,0.0077428,0.0077428
116,33903.1,0.76093,0.54699,0.99558,0.84836,0.84384,0.88499,0.68671,0.79899,0.63291,0.99186,0.007723,0.007723,0.007723
117,34200.3,0.75617,0.54697,0.99265,0.85313,0.8396,0.88501,0.68598,0.79885,0.63316,0.99221,0.0077032,0.0077032,0.0077032
118,34496.4,0.75596,0.54481,0.99283,0.85348,0.83816,0.88436,0.68613,0.79819,0.63397,0.9922,0.0076834,0.0076834,0.0076834
119,34791.7,0.75526,0.54076,0.99081,0.85197,0.83875,0.88457,0.68669,0.79767,0.63389,0.99226,0.0076636,0.0076636,0.0076636
120,35091.3,0.75529,0.54566,0.99072,0.854,0.83837,0.88482,0.68701,0.79676,0.6332,0.992,0.0076438,0.0076438,0.0076438
121,35391.2,0.75333,0.53825,0.99208,0.85216,0.84096,0.88448,0.68678,0.79695,0.63365,0.99247,0.007624,0.007624,0.007624
122,35693.6,0.75231,0.54056,0.99058,0.85086,0.84171,0.884,0.68669,0.798,0.63397,0.99313,0.0076042,0.0076042,0.0076042
123,35983.8,0.75234,0.54423,0.98957,0.85127,0.84394,0.88368,0.68671,0.79943,0.63406,0.99428,0.0075844,0.0075844,0.0075844
